Franklin_Paxinos_Full_name,Franklin_Paxinos_abbreviation,Structural_ID,structure_Order,red,green,blue,Parent_ID,Parent_abbreviation,Allen_Full_name,Allen_abbreviation
Primary somatosensory cortex layer 6a,S1-6a,686,3300,138,204,153,322,S1,Primary somatosensory area_layer 6a,SSp6a
Primary somatosensory cortex layer 6b,S1-6b,719,3400,163,213,170,322,S1,Primary somatosensory area_layer 6b,SSp6b
Primary somatosensory area_jaw,S1J,2338,3410,163,213,170,322,S1,none,none
Primary somatosensory area_jaw_layer 1,S1J-1,2339,3420,163,213,170,2338,S1J,none,none
Primary somatosensory area_jaw_layer 2/3,S1J-2/3,2340,3430,163,213,170,2338,S1J,none,none
Primary somatosensory area_jaw_layer 4,S1J-4,2341,3440,163,213,170,2338,S1J,none,none
Primary somatosensory area_jaw_layer 5,S1J-5,2342,3450,163,213,170,2338,S1J,none,none
Primary somatosensory area_jaw_layer 6a,S1J-6a,2343,3460,163,213,170,2338,S1J,none,none
Primary somatosensory area_jaw_layer 6b,S1J-6b,2344,3470,163,213,170,2338,S1J,none,none
none,none,-1,-1,-1,-1,-1,-1,none,Primary somatosensory area_nose,SSp-n
none,none,-1,-1,-1,-1,-1,-1,none,Primary somatosensory area_nose_layer 1,SSp-n1
none,none,-1,-1,-1,-1,-1,-1,none,Primary somatosensory area_nose_layer 2/3,SSp-n2/3
none,none,-1,-1,-1,-1,-1,-1,none,Primary somatosensory area_nose_layer 4,SSp-n4
none,none,-1,-1,-1,-1,-1,-1,none,Primary somatosensory area_nose_layer 5,SSp-n5
none,none,-1,-1,-1,-1,-1,-1,none,Primary somatosensory area_nose_layer 6a,SSp-n6a
none,none,-1,-1,-1,-1,-1,-1,none,Primary somatosensory area_nose_layer 6b,SSp-n6b
Primary somatosensory cortex_barrel field,S1BF,329,4200,112,255,121,322,S1,Primary somatosensory area_barrel field,SSp-bfd
Primary somatosensory cortex_barrel field_layer 1,S1BF-1,981,4300,0,178,156,329,S1BF,Primary somatosensory area_barrel field_layer 1,SSp-bfd1
Primary somatosensory cortex_barrel field_layer 2/3,S1BF-2/3,201,4400,19,186,171,329,S1BF,Primary somatosensory area_barrel field_layer 2/3,SSp-bfd2/3
Primary somatosensory cortex_barrel field_layer 4,S1BF-4,1047,4500,66,191,179,329,S1BF,Primary somatosensory area_barrel field_layer 4,SSp-bfd4
Primary somatosensory cortex_barrel field_layer 5 ,S1BF-5,1070,4600,93,197,188,329,S1BF,Primary somatosensory area_barrel field_layer 5 ,SSp-bfd5
Primary somatosensory cortex_barrel field_layer 6a,S1BF-6a,1038,4700,117,203,197,329,S1BF,Primary somatosensory area_barrel field_layer 6a,SSp-bfd6a
Primary somatosensory cortex_barrel field_layer 6b,S1BF-6b,1062,4800,143,211,208,329,S1BF,Primary somatosensory area_barrel field_layer 6b,SSp-bfd6b
Primary somatosensory cortex_hindlimb region,S1HL,337,4900,112,255,121,322,S1,Primary somatosensory area_lower limb,SSp-ll
Primary somatosensory cortex_hindlimb region_layer 1,S1HL-1,1030,5000,0,177,142,337,S1HL,Primary somatosensory area_lower limb_layer 1,SSp-ll1
Primary somatosensory cortex_hindlimb region_layer 2/3,S1HL-2/3,113,5100,0,183,155,337,S1HL,Primary somatosensory area_lower limb_layer 2/3,SSp-ll2/3
Primary somatosensory cortex_hindlimb region_layer 4,S1HL-4,1094,5200,69,191,171,337,S1HL,Primary somatosensory area_lower limb_layer 4,SSp-ll4
Primary somatosensory cortex_hindlimb region_layer 5,S1HL-5,1128,5300,96,196,179,337,S1HL,Primary somatosensory area_lower limb_layer 5,SSp-ll5
Primary somatosensory cortex_hindlimb region_layer 6a,S1HL-6a,478,5400,119,202,188,337,S1HL,Primary somatosensory area_lower limb_layer 6a,SSp-ll6a
Primary somatosensory cortex_hindlimb region_layer 6b,S1HL-6b,510,5500,145,211,198,337,S1HL,Primary somatosensory area_lower limb_layer 6b,SSp-ll6b
Primary somatosensory cortex_upper lip region,S1ULp,345,5600,112,255,121,322,S1,Primary somatosensory area_mouth,SSp-m
Primary somatosensory cortex_upper lip region_layer 1,S1ULp-1,878,5700,0,173,94,345,S1ULp,Primary somatosensory area_mouth_layer 1,SSp-m1
Primary somatosensory cortex_upper lip region_layer 2/3,S1ULp-2/3,657,5800,20,180,107,345,S1ULp,Primary somatosensory area_mouth_layer 2/3,SSp-m2/3
Primary somatosensory cortex_upper lip region_layer 4,S1ULp-4,950,5900,66,185,120,345,S1ULp,Primary somatosensory area_mouth_layer 4,SSp-m4
Primary somatosensory cortex_upper lip region_layer 5,S1ULp-5,974,6000,92,191,133,345,S1ULp,Primary somatosensory area_mouth_layer 5,SSp-m5
Primary somatosensory cortex_upper lip region_layer 6a,S1ULp-6a,1102,6100,115,197,146,345,S1ULp,Primary somatosensory area_mouth_layer 6a,SSp-m6a
Primary somatosensory cortex_upper lip region_layer 6b,S1ULp-6b,2,6200,137,205,161,345,S1ULp,Primary somatosensory area_mouth_layer 6b,SSp-m6b
Primary somatosensory cortex_dysgranular zone ,S1DZ,2000,6210,112,255,121,322,S1,none,none
Primary somatosensory cortex_dysgranular zone 1,S1DZ-1,2287,6211,112,255,121,2000,S1DZ,none,none
Primary somatosensory cortex_dysgranular zone 2/3,S1DZ-2/3,2288,6212,112,255,121,2000,S1DZ,none,none
Primary somatosensory cortex_dysgranular zone 4,S1DZ-4,2289,6213,112,255,121,2000,S1DZ,none,none
Primary somatosensory cortex_dysgranular zone 5,S1DZ-5,2290,6214,112,255,121,2000,S1DZ,none,none
Primary somatosensory cortex_dysgranular zone 6a,S1DZ-6a,2291,6215,112,255,121,2000,S1DZ,none,none
Primary somatosensory cortex_dysgranular zone 6b,S1DZ-6b,2292,6216,112,255,121,2000,S1DZ,none,none
Primary somatosensory cortex_oral dysgranular zone ,S1DZO,2352,6220,112,255,121,322,S1,none,none
Primary somatosensory cortex_oral dysgranular zone 1,S1DZO-1,2353,6221,112,255,121,2352,S1DZO,none,none
Primary somatosensory cortex_oral dysgranular zone 2/3,S1DZO-2/3,2354,6222,112,255,121,2352,S1DZO,none,none
Primary somatosensory cortex_oral dysgranular zone 4,S1DZO-4,2355,6223,112,255,121,2352,S1DZO,none,none
Primary somatosensory cortex_oral dysgranular zone 5,S1DZO-5,2356,6224,112,255,121,2352,S1DZO,none,none
Primary somatosensory cortex_oral dysgranular zone 6a,S1DZO-6a,2357,6225,112,255,121,2352,S1DZO,none,none
Primary somatosensory cortex_oral dysgranular zone 6b,S1DZO-6b,2358,6226,112,255,121,2352,S1DZO,none,none
Primary somatosensory cortex_shoulder region,S1Sh,2041,6230,112,255,121,322,S1,none,none
Primary somatosensory cortex_shoulder region 1,S1Sh-1,2310,6231,112,255,121,2041,S1Sh,none,none
Primary somatosensory cortex_shoulder region 2/3,S1Sh-2/3,2311,6232,112,255,121,2041,S1Sh,none,none
Primary somatosensory cortex_shoulder region 4,S1Sh-4,2312,6233,112,255,121,2041,S1Sh,none,none
Primary somatosensory cortex_shoulder region 5,S1Sh-5,2313,6234,112,255,121,2041,S1Sh,none,none
Primary somatosensory cortex_shoulder region 6a,S1Sh-6a,2314,6235,112,255,121,2041,S1Sh,none,none
Primary somatosensory cortex_shoulder region 6b,S1Sh-6b,2315,6236,112,255,121,2041,S1Sh,none,none
Primary somatosensory cortex_forelimb region,S1FL,369,6300,112,255,121,322,S1,Primary somatosensory area_upper limb,SSp-ul
Primary somatosensory cortex_forelimb region_layer 1,S1FL-1,450,6400,0,174,103,369,S1FL,Primary somatosensory area_upper limb_layer 1,SSp-ul1
Primary somatosensory cortex_forelimb region_layer 2/3,S1FL-2/3,854,6500,46,183,120,369,S1FL,Primary somatosensory area_upper limb_layer 2/3,SSp-ul2/3
Primary somatosensory cortex_forelimb region_layer 4,S1FL-4,577,6600,79,188,133,369,S1FL,Primary somatosensory area_upper limb_layer 4,SSp-ul4
Primary somatosensory cortex_forelimb region_layer 5,S1FL-5,625,6700,103,194,147,369,S1FL,Primary somatosensory area_upper limb_layer 5,SSp-ul5
Primary somatosensory cortex_forelimb region_layer 6a,S1FL-6a,945,6800,114,198,154,369,S1FL,Primary somatosensory area_upper limb_layer 6a,SSp-ul6a
Primary somatosensory cortex_forelimb region_layer 6b,S1FL-6b,1026,6900,124,201,162,369,S1FL,Primary somatosensory area_upper limb_layer 6b,SSp-ul6b
Primary somatosensory cortex_trunk region,S1Tr,361,7000,112,255,121,322,S1,Primary somatosensory area_trunk,SSp-tr
Primary somatosensory cortex_trunk region_layer 1,S1Tr-1,1006,7100,0,179,171,361,S1Tr,Primary somatosensory area_trunk_layer 1,SSp-tr1
Primary somatosensory cortex_trunk region_layer 2/3,S1Tr-2/3,670,7200,0,185,179,361,S1Tr,Primary somatosensory area_trunk_layer 2/3,SSp-tr2/3
Primary somatosensory cortex_trunk region_layer 4,S1Tr-4,1086,7300,63,192,187,361,S1Tr,Primary somatosensory area_trunk_layer 4,SSp-tr4
Primary somatosensory cortex_trunk region_layer 5,S1Tr-5,1111,7400,91,197,197,361,S1Tr,Primary somatosensory area_trunk_layer 5,SSp-tr5
Primary somatosensory cortex_trunk region_layer 6a,S1Tr-6a,9,7500,115,203,207,361,S1Tr,Primary somatosensory area_trunk_layer 6a,SSp-tr6a
Primary somatosensory cortex_trunk region_layer 6b,S1Tr-6b,461,7600,156,216,218,361,S1Tr,Primary somatosensory area_trunk_layer 6b,SSp-tr6b
Secondary somatosensory cortex,S2,378,7700,112,255,121,453,S,Supplemental somatosensory area,SSs
Secondary somatosensory cortex_layer 1,S2-1,873,7800,0,176,129,378,S2,Supplemental somatosensory area_layer 1,SSs1
Secondary somatosensory cortex_layer 2/3,S2-2/3,806,7900,0,180,135,378,S2,Supplemental somatosensory area_layer 2/3,SSs2/3
Secondary somatosensory cortex_layer 4,S2-4,1035,8000,40,184,141,378,S2,Supplemental somatosensory area_layer 4,SSs4
Secondary somatosensory cortex_layer 5,S2-5,1090,8100,74,190,155,378,S2,Supplemental somatosensory area_layer 5,SSs5
Secondary somatosensory cortex_layer 6a,S2-6a,862,8200,98,196,170,378,S2,Supplemental somatosensory area_layer 6a,SSs6a
Secondary somatosensory cortex_layer 6b,S2-6b,893,8300,121,202,179,378,S2,Supplemental somatosensory area_layer 6b,SSs6b
Cingulate cortex_area 24a (infralimbic),A24a (IL),44,8400,112,255,104,315,Isocortex,Infralimbic area,ILA
Cingulate cortex_area 24a (infralimbic)_layer 1,A24a (IL)-1,707,8500,0,137,72,44,A24a (IL),Infralimbic area_layer 1,ILA1
Cingulate cortex_area 24a (infralimbic)_layer 2/3,A24a (IL)-2,747,8600,13,142,83,44,A24a (IL),Infralimbic area_layer 2,ILA2
Cingulate cortex_area 24a (infralimbic)_layer 4,A24a (IL)-2/3,556,8700,50,146,93,44,A24a (IL),Infralimbic area_layer 2/3,ILA2/3
Cingulate cortex_area 24a (infralimbic)_layer 5,A24a (IL)-5,827,8800,77,160,111,44,A24a (IL),Infralimbic area_layer 5,ILA5
Cingulate cortex_area 24a (infralimbic)_layer 6a,A24a (IL)-6a,1054,8900,97,166,122,44,A24a (IL),Infralimbic area_layer 6a,ILA6a
Cingulate cortex_area 24a (infralimbic)_layer 6b,A24a (IL)-6b,1081,9000,116,172,135,44,A24a (IL),Infralimbic area_layer 6b,ILA6b
Dysgranular insular cortex,DI,1057,9100,112,255,105,315,Isocortex,Gustatory areas,GU
Dysgranular insular cortex_layer 1,DI-1,36,9200,51,181,90,1057,DI,Gustatory areas_layer 1,GU1
Dysgranular insular cortex_layer 2/3,DI-2/3,180,9300,82,187,112,1057,DI,Gustatory areas_layer 2/3,GU2/3
Dysgranular insular cortex_layer 4,DI-4,148,9400,106,193,125,1057,DI,Gustatory areas_layer 4,GU4
Dysgranular insular cortex_layer 5,DI-5,187,9500,127,200,138,1057,DI,Gustatory areas_layer 5,GU5
Dysgranular insular cortex_layer 6a,DI-6a,638,9600,152,208,152,1057,DI,Gustatory areas_layer 6a,GU6a
Dysgranular insular cortex_layer 6b,DI-6b,662,9700,175,218,179,1057,DI,Gustatory areas_layer 6b,GU6b
Granular insular cortex,GI,677,9800,112,255,100,315,Isocortex,Visceral area,VISC
Granular insular cortex_layer 1,GI-1,897,9900,0,155,91,677,GI,Visceral area_layer 1,VISC1
Granular insular cortex_layer 2/3,GI-2/3,1106,10000,42,163,106,677,GI,Visceral area_layer 2/3,VISC2/3
Granular insular cortex_layer 4,GI-4,1010,10100,70,168,118,677,GI,Visceral area_layer 4,VISC4
Granular insular cortex_layer 5,GI-5,1058,10200,97,183,138,677,GI,Visceral area_layer 5,VISC5
Granular insular cortex_layer 6a,GI-6a,857,10300,108,186,144,677,GI,Visceral area_layer 6a,VISC6a
Granular insular cortex_layer 6b,GI-6b,849,10400,117,189,152,677,GI,Visceral area_layer 6b,VISC6b
Auditory cortex,Au,247,10500,120,255,120,315,Isocortex,Auditory areas,AUD
Secondary auditory cortex_dorsal area,AuD,1011,10600,120,255,120,247,Au,Dorsal auditory area,AUDd
Secondary auditory cortex_dorsal area_layer 1,AuD-1,527,10700,0,157,125,1011,AuD,Dorsal auditory area_layer 1,AUDd1
Secondary auditory cortex_dorsal area_layer 2/3,AuD-2/3,600,10800,0,163,137,1011,AuD,Dorsal auditory area_layer 2/3,AUDd2/3
Secondary auditory cortex_dorsal area_layer 4,AuD-4,678,10900,63,170,151,1011,AuD,Dorsal auditory area_layer 4,AUDd4
Secondary auditory cortex_dorsal area_layer 5,AuD-5,252,11000,91,185,168,1011,AuD,Dorsal auditory area_layer 5,AUDd5
Secondary auditory cortex_dorsal area_layer 6a,AuD-6a,156,11100,113,190,176,1011,AuD,Dorsal auditory area_layer 6a,AUDd6a
Secondary auditory cortex_dorsal area_layer 6b,AuD-16b,243,11200,137,198,186,1011,AuD,Dorsal auditory area_layer 6b,AUDd6b
Primary auditory cortex,Au1,1002,11300,120,255,120,247,Au,Primary auditory area,AUDp
Primary auditory cortex_layer 1,Au1-1,735,11400,0,157,114,1002,Au1,Primary auditory area_layer 1,AUDp1
Primary auditory cortex_layer 2/3,Au1-2/3,251,11500,0,160,119,1002,Au1,Primary auditory area_layer 2/3,AUDp2/3
Primary auditory cortex_layer 4,Au1-4,816,11600,37,164,125,1002,Au1,Primary auditory area_layer 4,AUDp4
Primary auditory cortex_layer 5,Au1-5,847,11700,71,178,145,1002,Au1,Primary auditory area_layer 5,AUDp5
Primary auditory cortex_layer 6a,Au1-6a,954,11800,93,184,160,1002,Au1,Primary auditory area_layer 6a,AUDp6a
Primary auditory cortex_layer 6b,Au1-6b,1005,11900,115,190,168,1002,Au1,Primary auditory area_layer 6b,AUDp6b
none,none,-1,-1,-1,-1,-1,-1,none,Posterior auditory area,AUDpo
none,none,-1,-1,-1,-1,-1,-1,none,Posterior auditory area_layer 1,AUDpo1
none,none,-1,-1,-1,-1,-1,-1,none,Posterior auditory area_layer 2/3,AUDpo2/3
none,none,-1,-1,-1,-1,-1,-1,none,Posterior auditory area_layer 4,AUDpo4
none,none,-1,-1,-1,-1,-1,-1,none,Posterior auditory area_layer 5,AUDpo5
none,none,-1,-1,-1,-1,-1,-1,none,Posterior auditory area_layer 6a,AUDpo6a
none,none,-1,-1,-1,-1,-1,-1,none,Posterior auditory area_layer 6b,AUDpo6b
Secondary auditory cortex_ventral area,AuV,1018,12700,120,255,120,247,Au,Ventral auditory area,AUDv
Secondary auditory cortex_ventral area_layer 1,AuV-1,959,12800,0,156,102,1018,AuV,Ventral auditory area_layer 1,AUDv1
Secondary auditory cortex_ventral area_layer 2/3,AuV-2/3,755,12900,41,163,113,1018,AuV,Ventral auditory area_layer 2/3,AUDv2/3
Secondary auditory cortex_ventral area_layer 4,AuV-4,990,13000,70,168,124,1018,AuV,Ventral auditory area_layer 4,AUDv4
Secondary auditory cortex_ventral area_layer 5,AuV-5,1023,13100,96,183,144,1018,AuV,Ventral auditory area_layer 5,AUDv5
Secondary auditory cortex_ventral area_layer 6a,AuV-6a,520,13200,116,190,160,1018,AuV,Ventral auditory area_layer 6a,AUDv6a
Secondary auditory cortex_ventral area_layer 6b,AuV-6b,598,13300,127,193,168,1018,AuV,Ventral auditory area_layer 6b,AUDv6b
Visual cortex,V,669,13400,112,255,98,315,Isocortex,Visual areas,VIS
Secondary visual cortex_lateral area,V2L,2170,14010,108,173,178,669,V,Secondary visual cortex_lateral area,VISLa
Secondary visual cortex_lateral area_anterior region,V2La,402,14100,112,255,98,2170,V2L,Anterolateral visual area,VISal
Secondary visual cortex_lateral area_anterior region_layer1,V2La-1,1074,14200,0,160,181,402,V2La,Anterolateral visual area_layer 1,VISal1
Secondary visual cortex_lateral area_anterior region_layer2/3,V2La-2/3,905,14300,0,161,189,402,V2La,Anterolateral visual area_layer 2/3,VISal2/3
Secondary visual cortex_lateral area_anterior region_layer4,V2La-4,1114,14400,0,161,197,402,V2La,Anterolateral visual area_layer 4,VISal4
Secondary visual cortex_lateral area_anterior region_layer5,V2La-5,233,14500,16,179,202,402,V2La,Anterolateral visual area_layer 5,VISal5
Secondary visual cortex_lateral area_anterior region_layer6a,V2La-6a,601,14600,105,193,212,402,V2La,Anterolateral visual area_layer 6a,VISal6a
Secondary visual cortex_lateral area_anterior region_layer6b,V2La-6b,649,14700,103,193,221,402,V2La,Anterolateral visual area_layer 6b,VISal6b
Secondary visual cortex_lateral area_intermediate region,V2Li,409,14800,112,255,98,2170,V2L,Lateral visual area,VISl
Secondary visual cortex_lateral area_intermediate region_layer1,V2Li-1,421,14900,0,159,158,409,V2Li,Lateral visual area_layer 1,VISl1
Secondary visual cortex_lateral area_intermediate region_layer2/3,V2Li-2/3,973,15000,0,159,165,409,V2Li,Lateral visual area_layer 2/3,VISl23
Secondary visual cortex_lateral area_intermediate region_layer4,V2Li-4,573,15100,0,161,173,409,V2Li,Lateral visual area_layer 4,VISl4
Secondary visual cortex_lateral area_intermediate region_layer5,V2Li-5,613,15200,0,176,184,409,V2Li,Lateral visual area_layer 5,VISl5
Secondary visual cortex_lateral area_intermediate region_layer6a,V2Li-6a,74,15300,69,183,193,409,V2Li,Lateral visual area_layer 6a,VISl6a
Secondary visual cortex_lateral area_intermediate region_layer6b,V2Li-6b,121,15400,107,192,203,409,V2Li,Lateral visual area_layer 6b,VISl6b
Secondary visual cortex_lateral area_posterior region,V2Lp,425,15500,112,255,98,2170,V2L,Posterolateral visual area,VISpl
Secondary visual cortex_lateral area_posterior region_layer1,V2Lp-1,750,15600,0,180,205,425,V2Lp,Posterolateral visual area_layer 1,VISpl1
Secondary visual cortex_lateral area_posterior region_layer2/3,V2Lp-2/3,269,15700,0,181,214,425,V2Lp,Posterolateral visual area_layer 2/3,VISpl2/3
Secondary visual cortex_lateral area_posterior region_layer4,V2Lp-4,869,15800,0,181,223,425,V2Lp,Posterolateral visual area_layer 4,VISpl4
Secondary visual cortex_lateral area_posterior region_layer15,V2Lp-5,902,15900,2,190,215,425,V2Lp,Posterolateral visual area_layer 5,VISpl5
Secondary visual cortex_lateral area_posterior region_layer6a,V2Lp-6a,377,16000,110,205,226,425,V2Lp,Posterolateral visual area_layer 6a,VISpl6a
Secondary visual cortex_lateral area_posterior region_layer6b,V2Lp-6b,393,16100,107,205,236,425,V2Lp,Posterolateral visual area_layer 6b,VISpl6b
Secondary Visual Cortex_Medial area,V2M,2096,16110,107,205,236,669,V,Secondary Visual Cortex_Medial area,VISM
Secondary visual cortex_mediolateral area,V2ML,2097,16120,107,205,236,2096,V2M,none,none
Secondary visual cortex_mediolateral area_layer1,V2ML-1,2393,16130,107,205,236,2097,V2ML,none,none
Secondary visual cortex_mediolateral area_layer2/3,V2ML-2/3,2409,16140,107,205,236,2097,V2ML,none,none
Secondary visual cortex_mediolateral area_layer4,V2ML-4,2410,16150,107,205,236,2097,V2ML,none,none
Secondary visual cortex_mediolateral area_layer5,V2ML-5,2411,16160,107,205,236,2097,V2ML,none,none
Secondary visual cortex_mediolateral area_layer6a,V2ML-6a,2412,16170,107,205,236,2097,V2ML,none,none
Secondary visual cortex_mediolateral area_layer6b,V2ML-6b,2413,16180,107,205,236,2097,V2ML,none,none
Secondary visual cortex_mediomedial area_anterior region,V2MMa,394,16200,112,255,98,2096,V2M,Anteromedial visual area,VISam
Secondary visual cortex_mediomedial area_anterior region_layer1,V2MMa-1,281,16300,0,141,139,394,V2MMa,Anteromedial visual area_layer 1,VISam1
Secondary visual cortex_mediomedial area_anterior region_layer2/3,V2MMa-2/3,1066,16400,0,142,145,394,V2MMa,Anteromedial visual area_layer 2/3,VISam2/3
Secondary visual cortex_mediomedial area_anterior region_layer4,V2MMa-4,401,16500,0,143,152,394,V2MMa,Anteromedial visual area_layer 4,VISam4
Secondary visual cortex_mediomedial area_anterior region_layer5,V2MMa-5,433,16600,0,158,163,394,V2MMa,Anteromedial visual area_layer 5,VISam5
Secondary visual cortex_mediomedial area_anterior region_layer6a,V2MMa-6a,1046,16700,64,164,172,394,V2MMa,Anteromedial visual area_layer 6a,VISam6a
Secondary visual cortex_mediomedial area_anterior region_layer6b,V2MMa-6b,441,16800,98,172,181,394,V2MMa,Anteromedial visual area_layer 6b,VISam6b
Secondary visual cortex_mediomedial area_posterior region,V2MMp,533,16900,112,255,98,2096,V2M,posteromedial visual area,VISpm
Secondary visual cortex_mediomedial area_posterior region_layer1,V2MMp-1,805,17000,0,174,184,533,V2MMp,posteromedial visual area_layer 1,VISpm1
Secondary visual cortex_mediomedial area_posterior region_layer2/3,V2MMp-2/3,41,17100,0,175,191,533,V2MMp,posteromedial visual area_layer 2/3,VISpm2/3
Secondary visual cortex_mediomedial area_posterior region_layer4,V2MMp-4,501,17200,0,179,200,533,V2MMp,posteromedial visual area_layer 4,VISpm4
Secondary visual cortex_mediomedial area_posterior region_layer5,V2MMp-5,565,17300,63,184,201,533,V2MMp,posteromedial visual area_layer 5,VISpm5
Secondary visual cortex_mediomedial area_posterior region_layer6a,V2MMp-6a,257,17400,93,188,201,533,V2MMp,posteromedial visual area_layer 6a,VISpm6a
Secondary visual cortex_mediomedial area_posterior region_layer6b,V2MMp-6b,469,17500,119,194,202,533,V2MMp,posteromedial visual area_layer 6b,VISpm6b
Primary visual cortex,V1,385,17600,112,255,98,669,V,Primary visual area,VISp
Primary visual cortex_layer1,V1-1,593,17700,0,147,153,385,V1,Primary visual area_layer 1,VISp1
Primary visual cortex_layer2/3,V1-2/3,821,17800,0,148,159,385,V1,Primary visual area_layer 2/3,VISp2/3
Primary visual cortex_layer4,V1-4,721,17900,17,151,167,385,V1,Primary visual area_layer 4,VISp4
Primary visual cortex_layer5,V1-5,778,18000,60,163,177,385,V1,Primary visual area_layer 5,VISp5
Primary visual cortex_layer6a,V1-6a,33,18100,85,168,178,385,V1,Primary visual area_layer 6a,VISp6a
Primary visual cortex_layer6b,V1-6b,305,18200,107,173,178,385,V1,Primary visual area_layer 6b,VISp6b
Primary visual cortex_monocular area,V1M,2098,18210,112,255,98,385,V1,none,none
Primary visual cortex_monocular area_layer1,V1M-1,2428,18220,112,255,98,2098,V1M,none,none
Primary visual cortex_monocular area_layer2/3,V1M-2/3,2429,18230,112,255,98,2098,V1M,none,none
Primary visual cortex_monocular area_layer4,V1M-4,2430,18240,112,255,98,2098,V1M,none,none
Primary visual cortex_monocular area_layer5,V1M-5,2431,18250,112,255,98,2098,V1M,none,none
Primary visual cortex_monocular area_layer6a,V1M-6a,2432,18260,112,255,98,2098,V1M,none,none
Primary visual cortex_monocular area_layer16b,V1M-6b,2433,18270,112,255,98,2098,V1M,none,none
Primary visual cortex_binocular area,V1B,2133,18280,112,255,98,385,V1,none,none
Primary visual cortex_binocular area_layer1,V1B-1,2434,18290,112,255,98,2133,V1B,none,none
Primary visual cortex_binocular area_layer2/3,V1B-2/3,2435,18291,112,255,98,2133,V1B,none,none
Primary visual cortex_binocular area_layer4,V1B-4,2436,18292,112,255,98,2133,V1B,none,none
Primary visual cortex_binocular area_layer5,V1B-5,2437,18293,112,255,98,2133,V1B,none,none
Primary visual cortex_binocular area_layer6a,V1B-6a,2438,18294,112,255,98,2133,V1B,none,none
Primary visual cortex_binocular area_layer6b,V1B-6b,2439,18295,112,255,98,2133,V1B,none,none
Cingulate cortex,A24 (Cg),31,18300,112,255,113,315,Isocortex,Anterior cingulate area,ACA
