,acronym,atlas_id,color_hex_triplet,depth,failed,failed_facet,graph_id,graph_order,hemisphere_id,id,neuro_name_structure_id,neuro_name_structure_id_path,ontology_id,parent_structure_id,safe_name,sphinx_id,st_level,structure_id_path,structure_name_facet,weight
15,MO5,1027,1F9D5A,7,FALSE,734881840,1,15,3,299,,,1,500,Somatomotor areas Layer 5,16,,/997/8/567/688/695/315/500/299/,851674589,8690
16,MO6a,787,1F9D5A,7,FALSE,734881840,1,16,3,644,,,1,500,Somatomotor areas Layer 6a,17,,/997/8/567/688/695/315/500/644/,1003126892,8690
17,MO6b,825,1F9D5A,7,FALSE,734881840,1,17,3,947,,,1,500,Somatomotor areas Layer 6b,18,,/997/8/567/688/695/315/500/947/,2730742230,8690
18,MOp,830,1F9D5A,7,FALSE,734881840,1,18,3,985,,,1,500,Primary motor area,19,,/997/8/567/688/695/315/500/985/,1852742012,8690
19,MOp1,888,1F9D5A,8,FALSE,734881840,1,19,3,320,,,1,985,Primary motor area Layer 1,20,,/997/8/567/688/695/315/500/985/320/,571569106,8690
20,MOp2/3,966,1F9D5A,8,FALSE,734881840,1,20,3,943,,,1,985,Primary motor area Layer 2/3,21,,/997/8/567/688/695/315/500/985/943/,2488357079,8690
21,MOp5,929,1F9D5A,8,FALSE,734881840,1,21,3,648,,,1,985,Primary motor area Layer 5,22,,/997/8/567/688/695/315/500/985/648/,628930507,8690
22,MOp6a,1095,1F9D5A,8,FALSE,734881840,1,22,3,844,,,1,985,Primary motor area Layer 6a,23,,/997/8/567/688/695/315/500/985/844/,3473508879,8690
23,MOp6b,1100,1F9D5A,8,FALSE,734881840,1,23,3,882,,,1,985,Primary motor area Layer 6b,24,,/997/8/567/688/695/315/500/985/882/,1442896821,8690
24,MOs,831,1F9D5A,7,FALSE,734881840,1,24,3,993,,,1,500,Secondary motor area,25,,/997/8/567/688/695/315/500/993/,1043755260,8690
25,MOs1,930,1F9D5A,8,FALSE,734881840,1,25,3,656,,,1,993,Secondary motor area layer 1,26,,/997/8/567/688/695/315/500/993/656/,4032915713,8690
26,MOs2/3,1110,1F9D5A,8,FALSE,734881840,1,26,3,962,,,1,993,Secondary motor area layer 2/3,27,,/997/8/567/688/695/315/500/993/962/,3274108161,8690
27,MOs5,944,1F9D5A,8,FALSE,734881840,1,27,3,767,,,1,993,Secondary motor area layer 5,28,,/997/8/567/688/695/315/500/993/767/,4144803096,8690
28,MOs6a,1117,1F9D5A,8,FALSE,734881840,1,28,3,1021,,,1,993,Secondary motor area layer 6a,29,,/997/8/567/688/695/315/500/993/1021/,3489757563,8690
29,MOs6b,1125,1F9D5A,8,FALSE,734881840,1,29,3,1085,,,1,993,Secondary motor area layer 6b,30,,/997/8/567/688/695/315/500/993/1085/,1225271489,8690
30,SS,339,188064,6,FALSE,734881840,1,30,3,453,,,1,315,Somatosensory areas,31,,/997/8/567/688/695/315/453/,3016301862,8690
31,SS1,,188064,7,FALSE,734881840,1,31,3,12993,,,1,453,Somatosensory areas layer 1,32,,/997/8/567/688/695/315/453/12993/,544207135,8690
32,SS2/3,,188064,7,FALSE,734881840,1,32,3,12994,,,1,453,Somatosensory areas layer 2/3,33,,/997/8/567/688/695/315/453/12994/,3920828838,8690
33,SS4,,188064,7,FALSE,734881840,1,33,3,12995,,,1,453,Somatosensory areas layer 4,34,,/997/8/567/688/695/315/453/12995/,1342506384,8690
34,SS5,,188064,7,FALSE,734881840,1,34,3,12996,,,1,453,Somatosensory areas layer 5,35,,/997/8/567/688/695/315/453/12996/,654456070,8690
35,SS6a,,188064,7,FALSE,734881840,1,35,3,12997,,,1,453,Somatosensory areas layer 6a,36,,/997/8/567/688/695/315/453/12997/,719211136,8690
36,SS6b,,188064,7,FALSE,734881840,1,36,3,12998,,,1,453,Somatosensory areas layer 6b,37,,/997/8/567/688/695/315/453/12998/,3017218874,8690
37,SSp,747,188064,7,FALSE,734881840,1,37,3,322,,,1,453,Primary somatosensory area,38,,/997/8/567/688/695/315/453/322/,131561364,8690
38,SSp1,1089,188064,8,FALSE,734881840,1,38,3,793,,,1,322,Primary somatosensory area layer 1,39,,/997/8/567/688/695/315/453/322/793/,1205993041,8690
39,SSp2/3,1033,188064,8,FALSE,734881840,1,39,3,346,,,1,322,Primary somatosensory area layer 2/3,40,,/997/8/567/688/695/315/453/322/346/,401998130,8690
40,SSp4,1098,188064,8,FALSE,734881840,1,40,3,865,,,1,322,Primary somatosensory area layer 4,41,,/997/8/567/688/695/315/453/322/865/,931859166,8690
41,SSp5,1105,188064,8,FALSE,734881840,1,41,3,921,,,1,322,Primary somatosensory area layer 5,42,,/997/8/567/688/695/315/453/322/921/,1082931784,8690
42,SSp6a,934,188064,8,FALSE,734881840,1,42,3,686,,,1,322,Primary somatosensory area layer 6a,43,,/997/8/567/688/695/315/453/322/686/,3151865880,8690
43,SSp6b,938,188064,8,FALSE,734881840,1,43,3,719,,,1,322,Primary somatosensory area layer 6b,44,,/997/8/567/688/695/315/453/322/719/,584382882,8690
44,SSp-n,751,188064,8,FALSE,734881840,1,44,3,353,,,1,322,Primary somatosensory area nose,45,,/997/8/567/688/695/315/453/322/353/,3014838097,8690
45,SSp-n1,635,188064,9,FALSE,734881840,1,45,3,558,,,1,353,Primary somatosensory area nose layer 1,46,,/997/8/567/688/695/315/453/322/353/558/,3903637663,8690
46,SSp-n2/3,953,188064,9,FALSE,734881840,1,46,3,838,,,1,353,Primary somatosensory area nose layer 2/3,47,,/997/8/567/688/695/315/453/322/353/838/,2369110310,8690
47,SSp-n4,647,188064,9,FALSE,734881840,1,47,3,654,,,1,353,Primary somatosensory area nose layer 4,48,,/997/8/567/688/695/315/453/322/353/654/,2563128336,8690
48,SSp-n5,653,188064,9,FALSE,734881840,1,48,3,702,,,1,353,Primary somatosensory area nose layer 5,49,,/997/8/567/688/695/315/453/322/353/702/,4022406278,8690
49,SSp-n6a,1101,188064,9,FALSE,734881840,1,49,3,889,,,1,353,Primary somatosensory area nose layer 6a,50,,/997/8/567/688/695/315/453/322/353/889/,3350071961,8690
50,SSp-n6b,1106,188064,9,FALSE,734881840,1,50,3,929,,,1,353,Primary somatosensory area nose layer 6b,51,,/997/8/567/688/695/315/453/322/353/929/,1588026147,8690
51,SSp-bfd,748,188064,8,FALSE,734881840,1,51,3,329,,,1,322,Primary somatosensory area barrel field,52,,/997/8/567/688/695/315/453/322/329/,3406319794,8690
52,SSp-bfd1,971,188064,9,FALSE,734881840,1,52,3,981,,,1,329,Primary somatosensory area barrel field layer 1,53,,/997/8/567/688/695/315/453/322/329/981/,3178183090,8690
53,SSp-bfd2/3,1015,188064,9,FALSE,734881840,1,53,3,201,,,1,329,Primary somatosensory area barrel field layer 2/3,54,,/997/8/567/688/695/315/453/322/329/201/,1738869888,8690
54,SSp-bfd4,979,188064,9,FALSE,734881840,1,54,3,1047,,,1,329,Primary somatosensory area barrel field layer 4,55,,/997/8/567/688/695/315/453/322/329/1047/,3439709501,8690
55,SSp-bfd5,982,188064,9,FALSE,734881840,1,55,3,1070,,,1,329,Primary somatosensory area barrel field layer 5,56,,/997/8/567/688/695/315/453/322/329/1070/,3120758187,8690
56,SSp-bfd6a,978,188064,9,FALSE,734881840,1,56,3,1038,,,1,329,Primary somatosensory area barrel field layer 6a,57,,/997/8/567/688/695/315/453/322/329/1038/,2183435549,8690
57,SSp-bfd6b,981,188064,9,FALSE,734881840,1,57,3,1062,,,1,329,Primary somatosensory area barrel field layer 6b,58,,/997/8/567/688/695/315/453/322/329/1062/,455984295,8690
58,VISrll,,188064,9,FALSE,734881840,1,58,3,480149202,,,1,329,Rostrolateral lateral visual area,59,,/997/8/567/688/695/315/453/322/329/480149202/,3664552515,8690
59,VISrll1,,188064,10,FALSE,734881840,1,59,3,480149206,,,1,480149202,Rostrolateral lateral visual area layer 1,60,,/997/8/567/688/695/315/453/322/329/480149202/480149206/,3014325736,8690
60,VISrll2/3,,188064,10,FALSE,734881840,1,60,3,480149210,,,1,480149202,Rostrolateral lateral visual area layer 2/3,61,,/997/8/567/688/695/315/453/322/329/480149202/480149210/,3038984448,8690
61,VISrll4,,188064,10,FALSE,734881840,1,61,3,480149214,,,1,480149202,Rostrolateral lateral visual area layer 4,62,,/997/8/567/688/695/315/453/322/329/480149202/480149214/,3284140391,8690
62,VISrll5,,188064,10,FALSE,734881840,1,62,3,480149218,,,1,480149202,Rostrolateral lateral visual arealayer 5,63,,/997/8/567/688/695/315/453/322/329/480149202/480149218/,1253499024,8690
63,VISrll6a,,188064,10,FALSE,734881840,1,63,3,480149222,,,1,480149202,Rostrolateral lateral visual area layer 6a,64,,/997/8/567/688/695/315/453/322/329/480149202/480149222/,160753723,8690
64,VISrll6b,,188064,10,FALSE,734881840,1,64,3,480149226,,,1,480149202,Rostrolateral lateral visual area layer 6b,65,,/997/8/567/688/695/315/453/322/329/480149202/480149226/,2426255745,8690
65,SSp-ll,749,188064,8,FALSE,734881840,1,65,3,337,,,1,322,Primary somatosensory area lower limb,66,,/997/8/567/688/695/315/453/322/337/,533428449,8690
66,SSp-ll1,977,188064,9,FALSE,734881840,1,66,3,1030,,,1,337,Primary somatosensory area lower limb layer 1,67,,/997/8/567/688/695/315/453/322/337/1030/,1906118639,8690
67,SSp-ll2/3,1004,188064,9,FALSE,734881840,1,67,3,113,,,1,337,Primary somatosensory area lower limb layer 2/3,68,,/997/8/567/688/695/315/453/322/337/113/,2802480882,8690
68,SSp-ll4,985,188064,9,FALSE,734881840,1,68,3,1094,,,1,337,Primary somatosensory area lower limb layer 4,69,,/997/8/567/688/695/315/453/322/337/1094/,33028960,8690
69,SSp-ll5,989,188064,9,FALSE,734881840,1,69,3,1128,,,1,337,Primary somatosensory area lower limb layer 5,70,,/997/8/567/688/695/315/453/322/337/1128/,1995492342,8690
70,SSp-ll6a,625,188064,9,FALSE,734881840,1,70,3,478,,,1,337,Primary somatosensory area lower limb layer 6a,71,,/997/8/567/688/695/315/453/322/337/478/,2536655458,8690
71,SSp-ll6b,629,188064,9,FALSE,734881840,1,71,3,510,,,1,337,Primary somatosensory area lower limb layer 6b,72,,/997/8/567/688/695/315/453/322/337/510/,238754776,8690
72,SSp-m,750,188064,8,FALSE,734881840,1,72,3,345,,,1,322,Primary somatosensory area mouth,73,,/997/8/567/688/695/315/453/322/345/,2638278704,8690
73,SSp-m1,958,188064,9,FALSE,734881840,1,73,3,878,,,1,345,Primary somatosensory area mouth layer 1,74,,/997/8/567/688/695/315/453/322/345/878/,3213023761,8690
74,SSp-m2/3,1072,188064,9,FALSE,734881840,1,74,3,657,,,1,345,Primary somatosensory area mouth layer 2/3,75,,/997/8/567/688/695/315/453/322/345/657/,3683406469,8690
75,SSp-m4,967,188064,9,FALSE,734881840,1,75,3,950,,,1,345,Primary somatosensory area mouth layer 4,76,,/997/8/567/688/695/315/453/322/345/950/,3488099998,8690
76,SSp-m5,970,188064,9,FALSE,734881840,1,76,3,974,,,1,345,Primary somatosensory area mouth layer 5,77,,/997/8/567/688/695/315/453/322/345/974/,3102678536,8690
77,SSp-m6a,986,188064,9,FALSE,734881840,1,77,3,1102,,,1,345,Primary somatosensory area mouth layer 6a,78,,/997/8/567/688/695/315/453/322/345/1102/,3455683244,8690
78,SSp-m6b,990,188064,9,FALSE,734881840,1,78,3,2,,,1,345,Primary somatosensory area mouth layer 6b,79,,/997/8/567/688/695/315/453/322/345/2/,1425070870,8690
79,SSp-ul,753,188064,8,FALSE,734881840,1,79,3,369,,,1,322,Primary somatosensory area upper limb,80,,/997/8/567/688/695/315/453/322/369/,3184285306,8690
80,SSp-ul1,1046,188064,9,FALSE,734881840,1,80,3,450,,,1,369,Primary somatosensory area upper limb layer 1,81,,/997/8/567/688/695/315/453/322/369/450/,2333546951,8690
81,SSp-ul2/3,955,188064,9,FALSE,734881840,1,81,3,854,,,1,369,Primary somatosensory area upper limb layer 2/3,82,,/997/8/567/688/695/315/453/322/369/854/,243505027,8690
82,SSp-ul4,1062,188064,9,FALSE,734881840,1,82,3,577,,,1,369,Primary somatosensory area upper limb layer 4,83,,/997/8/567/688/695/315/453/322/369/577/,4219333960,8690
83,SSp-ul5,1068,188064,9,FALSE,734881840,1,83,3,625,,,1,369,Primary somatosensory area upper limb layer 5,84,,/997/8/567/688/695/315/453/322/369/625/,2356862430,8690
84,SSp-ul6a,1108,188064,9,FALSE,734881840,1,84,3,945,,,1,369,Primary somatosensory area upper limb layer 6a,85,,/997/8/567/688/695/315/453/322/369/945/,2726127758,8690
85,SSp-ul6b,1118,188064,9,FALSE,734881840,1,85,3,1026,,,1,369,Primary somatosensory area upper limb layer 6b,86,,/997/8/567/688/695/315/453/322/369/1026/,997472564,8690
86,SSp-tr,752,188064,8,FALSE,734881840,1,86,3,361,,,1,322,Primary somatosensory area trunk,87,,/997/8/567/688/695/315/453/322/361/,2078745056,8690
87,SSp-tr1,974,188064,9,FALSE,734881840,1,87,3,1006,,,1,361,Primary somatosensory area trunk layer 1,88,,/997/8/567/688/695/315/453/322/361/1006/,396802005,8690
88,SSp-tr2/3,649,188064,9,FALSE,734881840,1,88,3,670,,,1,361,Primary somatosensory area trunk layer 2/3,89,,/997/8/567/688/695/315/453/322/361/670/,1192883470,8690
89,SSp-tr4,984,188064,9,FALSE,734881840,1,89,3,1086,,,1,361,Primary somatosensory area trunk layer 4,90,,/997/8/567/688/695/315/453/322/361/1086/,1741439834,8690
90,SSp-tr5,987,188064,9,FALSE,734881840,1,90,3,1111,,,1,361,Primary somatosensory area trunk layer 5,91,,/997/8/567/688/695/315/453/322/361/1111/,281768908,8690
91,SSp-tr6a,991,188064,9,FALSE,734881840,1,91,3,9,,,1,361,Primary somatosensory area trunk layer 6a,92,,/997/8/567/688/695/315/453/322/361/9/,1364764776,8690
92,SSp-tr6b,623,188064,9,FALSE,734881840,1,92,3,461,,,1,361,Primary somatosensory area trunk layer 6b,93,,/997/8/567/688/695/315/453/322/361/461/,3360815570,8690
93,SSp-un,,188064,8,FALSE,734881840,1,93,3,182305689,,,1,322,Primary somatosensory area unassigned,94,,/997/8/567/688/695/315/453/322/182305689/,10092796,8690
94,SSp-un1,,188064,9,FALSE,734881840,1,94,3,182305693,,,1,182305689,Primary somatosensory area unassigned layer 1,95,,/997/8/567/688/695/315/453/322/182305689/182305693/,1824943704,8690
95,SSp-un2/3,,188064,9,FALSE,734881840,1,95,3,182305697,,,1,182305689,Primary somatosensory area unassigned layer 2/3,96,,/997/8/567/688/695/315/453/322/182305689/182305697/,909836824,8690
96,SSp-un4,,188064,9,FALSE,734881840,1,96,3,182305701,,,1,182305689,Primary somatosensory area unassigned layer 4,97,,/997/8/567/688/695/315/453/322/182305689/182305701/,481073879,8690
97,SSp-un5,,188064,9,FALSE,734881840,1,97,3,182305705,,,1,182305689,Primary somatosensory area unassigned layer 5,98,,/997/8/567/688/695/315/453/322/182305689/182305705/,1806412353,8690
98,SSp-un6a,,188064,9,FALSE,734881840,1,98,3,182305709,,,1,182305689,Primary somatosensory area unassigned layer 6a,99,,/997/8/567/688/695/315/453/322/182305689/182305709/,3257546540,8690
99,SSp-un6b,,188064,9,FALSE,734881840,1,99,3,182305713,,,1,182305689,Primary somatosensory area unassigned layer 6b,100,,/997/8/567/688/695/315/453/322/182305689/182305713/,1529046678,8690
100,SSs,754,188064,7,FALSE,734881840,1,100,3,378,,,1,453,Supplemental somatosensory area,101,,/997/8/567/688/695/315/453/378/,713142416,8690
101,SSs1,1099,188064,8,FALSE,734881840,1,101,3,873,,,1,378,Supplemental somatosensory area layer 1,102,,/997/8/567/688/695/315/453/378/873/,697782769,8690
102,SSs2/3,949,188064,8,FALSE,734881840,1,102,3,806,,,1,378,Supplemental somatosensory area layer 2/3,103,,/997/8/567/688/695/315/453/378/806/,4288179668,8690
103,SSs4,1119,188064,8,FALSE,734881840,1,103,3,1035,,,1,378,Supplemental somatosensory area layer 4,104,,/997/8/567/688/695/315/453/378/1035/,1509795198,8690
104,SSs5,1126,188064,8,FALSE,734881840,1,104,3,1090,,,1,378,Supplemental somatosensory area layer 5,105,,/997/8/567/688/695/315/453/378/1090/,788174312,8690
105,SSs6a,956,188064,8,FALSE,734881840,1,105,3,862,,,1,378,Supplemental somatosensory area layer 6a,106,,/997/8/567/688/695/315/453/378/862/,1835367775,8690
106,SSs6b,960,188064,8,FALSE,734881840,1,106,3,893,,,1,378,Supplemental somatosensory area layer 6b,107,,/997/8/567/688/695/315/453/378/893/,4100730085,8690
107,GU,131,009C75,6,FALSE,734881840,1,107,3,1057,,,1,315,Gustatory areas,108,,/997/8/567/688/695/315/1057/,722362724,8690
108,GU1,994,009C75,7,FALSE,734881840,1,108,3,36,,,1,1057,Gustatory areas layer 1,109,,/997/8/567/688/695/315/1057/36/,2374290445,8690
109,GU2/3,729,009C75,7,FALSE,734881840,1,109,3,180,,,1,1057,Gustatory areas layer 2/3,110,,/997/8/567/688/695/315/1057/180/,3375335567,8690
110,GU4,1008,009C75,7,FALSE,734881840,1,110,3,148,,,1,1057,Gustatory areas layer 4,111,,/997/8/567/688/695/315/1057/148/,4260247682,8690
111,GU5,1013,009C75,7,FALSE,734881840,1,111,3,187,,,1,1057,Gustatory areas layer 5,112,,/997/8/567/688/695/315/1057/187/,2330527764,8690
112,GU6a,645,009C75,7,FALSE,734881840,1,112,3,638,,,1,1057,Gustatory areas layer 6a,113,,/997/8/567/688/695/315/1057/638/,3653947637,8690
113,GU6b,648,009C75,7,FALSE,734881840,1,113,3,662,,,1,1057,Gustatory areas layer 6b,114,,/997/8/567/688/695/315/1057/662/,1086554447,8690
114,VISC,367,11AD83,6,FALSE,734881840,1,114,3,677,,,1,315,Visceral area,115,,/997/8/567/688/695/315/677/,3549914160,8690
115,VISC1,1102,11AD83,7,FALSE,734881840,1,115,3,897,,,1,677,Visceral area layer 1,116,,/997/8/567/688/695/315/677/897/,1291666049,8690
116,VISC2/3,1128,11AD83,7,FALSE,734881840,1,116,3,1106,,,1,677,Visceral area layer 2/3,117,,/997/8/567/688/695/315/677/1106/,1410936982,8690
117,VISC4,1116,11AD83,7,FALSE,734881840,1,117,3,1010,,,1,677,Visceral area layer 4,118,,/997/8/567/688/695/315/677/1010/,1016575502,8690
118,VISC5,1122,11AD83,7,FALSE,734881840,1,118,3,1058,,,1,677,Visceral area layer 5,119,,/997/8/567/688/695/315/677/1058/,1267762840,8690
119,VISC6a,1097,11AD83,7,FALSE,734881840,1,119,3,857,,,1,677,Visceral area layer 6a,120,,/997/8/567/688/695/315/677/857/,1023764080,8690
120,VISC6b,1096,11AD83,7,FALSE,734881840,1,120,3,849,,,1,677,Visceral area layer 6b,121,,/997/8/567/688/695/315/677/849/,2752264138,8690
121,AUD,30,19399,6,FALSE,734881840,1,121,3,247,,,1,315,Auditory areas,122,,/997/8/567/688/695/315/247/,3638065128,8690
122,AUDd,833,19399,7,FALSE,734881840,1,122,3,1011,,,1,247,Dorsal auditory area,123,,/997/8/567/688/695/315/247/1011/,2633724239,8690
123,AUDd1,631,19399,8,FALSE,734881840,1,123,3,527,,,1,1011,Dorsal auditory area layer 1,124,,/997/8/567/688/695/315/247/1011/527/,2852024941,8690
124,AUDd2/3,923,19399,8,FALSE,734881840,1,124,3,600,,,1,1011,Dorsal auditory area layer 2/3,125,,/997/8/567/688/695/315/247/1011/600/,2148227545,8690
125,AUDd4,650,19399,8,FALSE,734881840,1,125,3,678,,,1,1011,Dorsal auditory area layer 4,126,,/997/8/567/688/695/315/247/1011/678/,3650389730,8690
126,AUDd5,738,19399,8,FALSE,734881840,1,126,3,252,,,1,1011,Dorsal auditory area layer 5,127,,/997/8/567/688/695/315/247/1011/252/,2928916084,8690
127,AUDd6a,1009,19399,8,FALSE,734881840,1,127,3,156,,,1,1011,Dorsal auditory area layer 6a,128,,/997/8/567/688/695/315/247/1011/156/,2489109267,8690
128,AUDd6b,1020,19399,8,FALSE,734881840,1,128,3,243,,,1,1011,Dorsal auditory area layer 6b,129,,/997/8/567/688/695/315/247/1011/243/,223713961,8690
129,VISlla,,19399,8,FALSE,734881840,1,129,3,480149230,,,1,1011,Laterolateral anterior visual area,130,,/997/8/567/688/695/315/247/1011/480149230/,3171817402,8690
130,VISlla1,,19399,9,FALSE,734881840,1,130,3,480149234,,,1,480149230,Laterolateral anterior visual area layer 1,131,,/997/8/567/688/695/315/247/1011/480149230/480149234/,1340972930,8690
131,VISlla2/3,,19399,9,FALSE,734881840,1,131,3,480149238,,,1,480149230,Laterolateral anterior visual area layer 2/3,132,,/997/8/567/688/695/315/247/1011/480149230/480149238/,2270613036,8690
132,VISlla4,,19399,9,FALSE,734881840,1,132,3,480149242,,,1,480149230,Laterolateral anterior visual area layer 4,133,,/997/8/567/688/695/315/247/1011/480149230/480149242/,1065839373,8690
133,VISlla5,,19399,9,FALSE,734881840,1,133,3,480149246,,,1,480149230,Laterolateral anterior visual arealayer 5,134,,/997/8/567/688/695/315/247/1011/480149230/480149246/,3025467083,8690
134,VISlla6a,,19399,9,FALSE,734881840,1,134,3,480149250,,,1,480149230,Laterolateral anterior visual area layer 6a,135,,/997/8/567/688/695/315/247/1011/480149230/480149250/,2752456471,8690
135,VISlla6b,,19399,9,FALSE,734881840,1,135,3,480149254,,,1,480149230,Laterolateral anterior visual area layer 6b,136,,/997/8/567/688/695/315/247/1011/480149230/480149254/,1023833773,8690
136,AUDp,832,19399,7,FALSE,734881840,1,136,3,1002,,,1,247,Primary auditory area,137,,/997/8/567/688/695/315/247/1002/,760301534,8690
137,AUDp1,940,19399,8,FALSE,734881840,1,137,3,735,,,1,1002,Primary auditory area layer 1,138,,/997/8/567/688/695/315/247/1002/735/,340215110,8690
138,AUDp2/3,1021,19399,8,FALSE,734881840,1,138,3,251,,,1,1002,Primary auditory area layer 2/3,139,,/997/8/567/688/695/315/247/1002/251/,1321647110,8690
139,AUDp4,950,19399,8,FALSE,734881840,1,139,3,816,,,1,1002,Primary auditory area layer 4,140,,/997/8/567/688/695/315/247/1002/816/,1680716233,8690
140,AUDp5,954,19399,8,FALSE,734881840,1,140,3,847,,,1,1002,Primary auditory area layer 5,141,,/997/8/567/688/695/315/247/1002/847/,321552735,8690
141,AUDp6a,1109,19399,8,FALSE,734881840,1,141,3,954,,,1,1002,Primary auditory area layer 6a,142,,/997/8/567/688/695/315/247/1002/954/,945654628,8690
142,AUDp6b,1115,19399,8,FALSE,734881840,1,142,3,1005,,,1,1002,Primary auditory area layer 6b,143,,/997/8/567/688/695/315/247/1002/1005/,2706692830,8690
143,AUDpo,835,19399,7,FALSE,734881840,1,143,3,1027,,,1,247,Posterior auditory area,144,,/997/8/567/688/695/315/247/1027/,57661303,8690
144,AUDpo1,935,19399,8,FALSE,734881840,1,144,3,696,,,1,1027,Posterior auditory area layer 1,145,,/997/8/567/688/695/315/247/1027/696/,235681893,8690
145,AUDpo2/3,1070,19399,8,FALSE,734881840,1,145,3,643,,,1,1027,Posterior auditory area layer 2/3,146,,/997/8/567/688/695/315/247/1027/643/,3738950829,8690
146,AUDpo4,943,19399,8,FALSE,734881840,1,146,3,759,,,1,1027,Posterior auditory area layer 4,147,,/997/8/567/688/695/315/247/1027/759/,2120666346,8690
147,AUDpo5,947,19399,8,FALSE,734881840,1,147,3,791,,,1,1027,Posterior auditory area layer 5,148,,/997/8/567/688/695/315/247/1027/791/,157416572,8690
148,AUDpo6a,455,19399,8,FALSE,734881840,1,148,3,249,,,1,1027,Posterior auditory area layer 6a,149,,/997/8/567/688/695/315/247/1027/249/,2585833835,8690
149,AUDpo6b,622,19399,8,FALSE,734881840,1,149,3,456,,,1,1027,Posterior auditory area layer 6b,150,,/997/8/567/688/695/315/247/1027/456/,53076177,8690
150,AUDv,834,19399,7,FALSE,734881840,1,150,3,1018,,,1,247,Ventral auditory area,151,,/997/8/567/688/695/315/247/1018/,3132221761,8690
151,AUDv1,968,19399,8,FALSE,734881840,1,151,3,959,,,1,1018,Ventral auditory area layer 1,152,,/997/8/567/688/695/315/247/1018/959/,2148641706,8690
152,AUDv2/3,1084,19399,8,FALSE,734881840,1,152,3,755,,,1,1018,Ventral auditory area layer 2/3,153,,/997/8/567/688/695/315/247/1018/755/,4223622095,8690
153,AUDv4,972,19399,8,FALSE,734881840,1,153,3,990,,,1,1018,Ventral auditory area layer 4,154,,/997/8/567/688/695/315/247/1018/990/,4034617125,8690
154,AUDv5,976,19399,8,FALSE,734881840,1,154,3,1023,,,1,1018,Ventral auditory area layer 5,155,,/997/8/567/688/695/315/247/1018/1023/,2273079219,8690
155,AUDv6a,630,19399,8,FALSE,734881840,1,155,3,520,,,1,1018,Ventral auditory area layer 6a,156,,/997/8/567/688/695/315/247/1018/520/,2440393689,8690
156,AUDv6b,640,19399,8,FALSE,734881840,1,156,3,598,,,1,1018,Ventral auditory area layer 6b,157,,/997/8/567/688/695/315/247/1018/598/,142352995,8690
157,VIS,366,08858C,6,FALSE,734881840,1,157,3,669,,,1,315,Visual areas,158,,/997/8/567/688/695/315/669/,3978948604,8690
158,VIS1,1090,08858C,7,FALSE,734881840,1,158,3,801,,,1,669,Visual areas layer 1,159,,/997/8/567/688/695/315/669/801/,3577010707,8690
159,VIS2/3,1060,08858C,7,FALSE,734881840,1,159,3,561,,,1,669,Visual areas layer 2/3,160,,/997/8/567/688/695/315/669/561/,3921304241,8690
